date,symbol,open,high,low,close,volume,amount,source
2026-05-18,AAPL,120,123,119,122,1100000,,mock_seed
2026-05-19,AAPL,122,124,121,123,1150000,,mock_seed
2026-05-20,AAPL,123,124,121,122,1050000,,mock_seed
2026-05-21,AAPL,122,124,120,123,1080000,,mock_seed
2026-05-22,AAPL,123,125,122,124,1120000,,mock_seed
2026-05-25,AAPL,126,130,125,129,2400000,,mock_seed
2026-05-18,TSLA,210,214,205,208,1500000,,mock_seed
2026-05-19,TSLA,208,211,202,204,1450000,,mock_seed
2026-05-20,TSLA,204,206,199,201,1400000,,mock_seed
2026-05-21,TSLA,201,205,197,203,1350000,,mock_seed
2026-05-22,TSLA,203,207,198,200,1320000,,mock_seed
2026-05-25,TSLA,200,204,196,198,1300000,,mock_seed
2026-05-18,NVDA,890,910,880,905,1900000,,mock_seed
2026-05-19,NVDA,905,920,890,910,1950000,,mock_seed
2026-05-20,NVDA,910,925,900,918,1980000,,mock_seed
2026-05-21,NVDA,918,930,905,922,2000000,,mock_seed
2026-05-22,NVDA,922,935,910,928,2050000,,mock_seed
2026-05-25,NVDA,928,938,912,920,1600000,,mock_seed
